sentence1;sentence2;similarity_score
Bon...je dois aller manger...je te laisse,,,;Pas contre se soir je risque d'aatre a Montpellier ;2.686841487884521
Aucune idee je suis dans le 6173, je rentre de Paris...,,,;je souhaite etre la pr toi Jpp qd tu en auras besoin;3.84365177154541
Dans 2min,,,;Peut etre, bon faut vraiment que jvy aille...,,,;3.001768112182617
C'est ca oui ! Matcho.,,,;qui Y'a ton ma frÃƒÆ’Ã‚Â¨re t'appelle chatte. sur;2.8318378925323486
A LLEZ T OUS vs FAIRE ENCULER!;On t attend ou on mange, parce que la viande va refroidir. ;2.063844680786133
Oook! Je sais ps encore lÃƒÆ’Ã‚Â  je grailler mange je risque de t'appeler qd je pars pr savoir ou vs ÃƒÆ’Ã‚ÂªtesÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦;Vousetes ou?? ;2.292013645172119
>Anon>r c'est la faute de mon pere qui voulais pas !  ;Abaisse B-) ;1.9890599250793457
On cite quand c'est un personnage illustreet important qui parle, pas quand c'est un paysans neonazi communisteet arriere. ;Les bac blancs,,,;2.660038471221924
Bon ben on rentrera ensemble alors . Si tu veux bien de moi..,,,;Oooooor hor rible Lool;2.9732930660247803
Ã‚Â¿ tu me tel stp?';g ps a poser d congÃƒÆ’Ã‚Â©s Chelou com ca !;2.261692523956299
Hey dude je peux venir? ;Depui ke vs vsete remiensembl vs avei dja passei 1jrnei san vs voir ? ;1.7168596982955933
Oki ca roule  a toute ;Je me suis fait niquee !   ;2.422248363494873
Mdr mais t'a  un apparament a  toi toot seul?  !!!;bagnole Ok tapi a bientot!;1.7273250818252563
Taffer suÃƒÆ’Ã‚Â¬ fatiguÃƒÆ’Ã‚Â¨;"""ps pour de la soucis pr ta avant grasse pour mat ou je t ' envoie ou un message demain midi pr savoir ou ou elle t ' ami en es! pour bisous!""";2.08289122581482
oulah tu t'enflammes peut ÃƒÆ’Ã‚Âªtre un peu lÃƒÆ’Ã‚Â  Jpp qd mm;Ok.. Mais t'es pas toute seule? Zoub,,,;2.410700798034668
" ""Ok ÃƒÆ’Ã‚Â§a ma%vhe! a tt a l ' h j ' eqpÃƒÆ’Ã‚Â¨r3!"" ";tkt Le botch de mdf !;2.2068464756011963
"Ha ha et al ors? tjrsps de rel ation p lus. .. "" Prof onde ""?";sensÃƒÆ’Ã‚Â© ta mÃƒÆ’Ã‚Â¨re pÃƒÆ’Ã‚Â¨re ? chez T ton etre ou;1.953729510307312
Et le 180 pr stockholm ct quelle compagnie?;Oui ce lundi ... Je lui demande alors !?!,,,;2.0360770225524902
Fais moi penser a  te raconter le concert du dandy hannon a  ton retour de vacances ! G enregistre le concert, en partie du moins...,,,;T'as un copain??? ;2.700601816177368
Eh ben c'est ce qu'on appel dormir javais du retard ! Encore pareil se soir et je pet la forme demain  ta bien dormi ? Pas trop fais de cauchemar ?,,,;Une ORL de Strasboorg qui veut bosser avec moi. ;2.157127141952514
Hahaha t Svp es crade hein!! Je sais ps trop a quel h on rentre jte dirais!;tps ke fai pens a mai traill l toi tt ne j;2.2037909030914307
j ' av ou. ! = D;Alo rs ce sta ge c ok?;2.413609743118286
Mdrrr ... Allez c'est rien ! aa  va passer !Tu lui fera mal la prochaine fois  tu dois etre meilleur que lui quand maame !!!Bah moi je quitte vers 18 heures !Anon ferme !!!,,,;chaud lol Hiii;2.177368640899658
Tu joues a quoi ?,,,;Dacc,,,;2.88957142829895
LaAnon a pa pu se connecter sur msn,,,;Bah noon,,,;2.9612338542938232
Mdr thou parle tjrs avecAnon?;Car jeconomise pour m achte par rakette de badminton a 179euros,),,;1.862472653388977
as heures prÃƒÆ’Ã‚Â¨s plus roh ÃƒÆ’Ã‚Â  !! trois T;Pk Purre en plus mdrrrr je vais me taper la grosse honte mdrrrrrr;2.238067388534546
ben ca que me sa saoul!';! Ma pauvre,,,;2.2017364501953125
"""sous je les crois que moi j ' ai chier je mes trois partiels en mais puissant pour quoi""";Quoi de newss,,,;2.4878180027008057
Je feuillette le bouquin (a  mon pere) de Montebourg pour aller voter dimanche ;cas matinee cour la tte Mwa Ah... tt g en;2.264622211456299
Je suis dans la salle voisine!,,,;J ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ te ju re ce pl at m ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ a d onnÃƒÆ’Ã‚Â© la ger be.;2.8581793308258057
Profite dernier jour oÃƒÆ’Ã‚Â¹ on a que 3 ans de diffÃƒÆ’Ã‚Â©rence juska l'an hihi;Si t'hesite quelque part c'est que tu asenvie d'y aller mais si c'est pour pasetre bien apres laisse tomber ! Je sais plus quoi dire moi lol ! ;2.092029094696045
(Ah,et je boude) ;Jvais au bahut et vibes toi ?;2.9559895992279053
Mm d'accord... demain!;Jtaurais dis oui, mais la  je suis en retard donc mattend pas,,,;2.25842809677124
Ben den je vois balcon allume mafoo;"""que j ' m ' eta en avant serai en doutee je bonne est soiree pas aussi! biisoux""";2.347360610961914
min on retrouve 10/20 se ds Ben;Ouais, je sens la rechute --''Il m'a deja  dis des trucs un peu ambigue. J'ai dit 'un peu' ?? Non, non : beaucoup. HELP ;3.1411893367767334
Je viens tjs te faire ta couleur auj? ;Les palette meme pas habiller ;2.3512625694274902
Oui mais bon si tu dis a  ta m ere d appele t aura un rdv avant surement. Fais attention  je t'aime,,,;Faudra lui dire ! J'arrive meme pas a  la 5 Loool ! ;2.118773460388184
Moi pense que c'est 0<alpha<0.2 mais ca parait debile :O;Ah Putain j'ai ooblie de te prevenir mais je suis malade je suis pas alleeen coors!  !???;2.257675886154175
Papa va les chercher ils viennent de tel,,,;thabite bien ou? a ta la place au jme est debrouillerai le pr prendre est le paris tram ou le midi bus';3.85871171951294
Jv peu aatre passe te voir vendredi prochain si tes a  montbe  jvessayeren tout cas. ;M euf allez supl is ta me re tu dis que ce st pr mon ann ive! All ez!;1.814272403717041
Super mal a Paroisse de BÃƒÆ’Ã‚Â¢ton-Rouge Ouest tete, the big rhumeet un peu mal a Paroisse de BÃƒÆ’Ã‚Â¢ton-Rouge Ouest gorge mais c'est surtt le rhumeet Paroisse de BÃƒÆ’Ã‚Â¢ton-Rouge Ouest teteen faite lol;pr Osef qd?;2.6905014514923096
ya y des j douches que pensÃƒÆ’Ã‚Â© tkt!!! ai Non;sigma osi';2.2899391651153564
Le kilik football ciel juste tropenorme!!!;Tes Psk oqp?;2.0352320671081543
Oui oui, pourtant ils etait assez fort dans le casque je crois ><,,,;trop j'ai Comment froid...!! trop;2.4820034503936768
T seeriiiieeuuusee laaaa ?;Vas y aller  tu vas bien dormiiiir ;2.3700156211853027
Coucou, j'espere que vsetes prets pour votre flashmobet que les maries seront contents.et j'espereegalement que tu rentes ds ta robe. Passez une bonne journee. Bisous ;et ok si tu tu il l as que au il telefone tu il peu lui demander??';2.1246345043182373
Merde dnc pas do bar avcAnon samedi?,,,;Ah mais tkt jvous ferai faire un pti touren voiture quand je repasse vers chez toi ;3.852340698242188
Allez ira !! Mcdo maintenant haha;Ct f erme dc j ' ai esca lade;2.245605230331421
Hahha, t'as dc rien compris.. J'essaye justement pas de gagner. Moi je ne nis rien, j'te fais juste comprendre que toi si  !!!!!!!;Je viens pas depuis vendredi jusk'a demai a  cause  d un probl eme de dos,,,;2.058744192123413
KikouAnon,) oui ca vaet traÃƒâ€šÃ‚Â¨s bon weekendet toi? J'ai des potes qui vont aller a une soireeelectro jazz au bar la pleine lune c'est gratos :)enfin si tu aimes ce genre de soiree ca commence vers 21h30et c'est au Anon a Mtp. Sinon il y a pas mal de bar qui sont ouvertsen centre ville ou odysseum mais pas de soiree speciales ,) bonne soireeet a demain!,;vs qd VoilÃƒÆ’Ã‚Â ! venez! Tu m'tiens Biiisoux de au courant;2.6412172317504883
justement! pour faut deconner est un plus peu! prend la ma vie cote en coca de cola!';Je v Frangin manger au ru donc jtapelle ps desuite.;1.8360788822174072
L'espoir fait;Je suis en cours couillons !,,,;2.9887237548828125
Voila  c'est malin, tu m'as donneenvie ;Je passerai peut etre dans la soiree alors si ca ne te derange pas toi et ta famille!,,,;2.13854718208313
Lundi tu seras rentre ou pas?,,,;"""Ã‚Â« plein general de pays choses pour que j ' ai ps dites rouge a la toi ou le qqn d ' autre du pays groupe""";3.854039907455444
T'as mal aux cheveux ? ;Okay j'ai lu !Maisen fait on a dit au debut qu'on raconte l'histoire des naufrages qui sont morts  etAnon aete mange sous nos yeux  ;2.25725531578064
trop froid...!! Comment j'ai trop;Mais qu ils sont mauvais t.t cest un truc de l'ina ou un truc municipal ? ;2.150501012802124
Ouais hahaha non c'est pas bien quand meme  mais la choucroute c'est bien (jsuis philosophe) ;du cause oui une fusillade de genre... truk ÃƒÆ’Ã‚Â  vengeance un drogues;2.2523422241210938
Dsl non ? prquoi Heu;domestique memoire ou vive fb?;2.4395692348480225
Les neozelander ont gagnee !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,;Tp la flemme d'aller au c2i lol tant pis,,,;3.3706471920013428
Tu me diras alors ... Tu dois te renseigner ou pour ton projet ?!? Tu as deja  fait certaine demarche ?!? ;Toujours pas de news de chez les branleurs ? ;2.485705137252808
oui la 1ÃƒÆ’Ã‚Â© question et nn ÃƒÆ’Ã‚Â  la 2ÃƒÆ’Ã‚Â¨me;Mais tu m'avais dit que tu pouvais me donne de nouvelles !?!;2.233520984649658
Je sais Je suis nulle mais j aime tellement les foku qui jurent sur tout . Beh oui  tu savais pas avant? Moi ce soir Je suis la  a  21h45 ca peux colle Je t'aime ;Anon Mtsss voi moja a heya pendzo mwa,,,;1.9501579999923704
nan et elle il aime bien assister une a des constructions emboucanes et cette la catin.';Coucou mon coeur ! Alors cette soiree ?!?Vous aates alles Open Universityet avec qui finalement ?!?;2.1363205909729004
il ben.... arnaqueurs!!;Ok ca marche. Devant le relay aux journaux? J'aurais un bebe dans une poussette, et un manteau vert fonce. aEUR tout a  l'heure.,,,;2.542410373687744
Lol c bien t rentree chez toi ? ;reps fromage un fait lol! Tu t;2.023258209228516
Moi osi,,,;C'estAnon qui m'enmene,,,;2.619126319885254
Bah Bakersfield fait quoi ??;Bon benAnon est malade donc c'est mort,,,;2.0508792400360107
Non je pense pas. Je veux pas faire quelques choses que je pourrais regretter plus tard hein !! ;"""pas coucou c ' aim est qui tjs ok tu pr ce soir?""";2.052865028381348
Oui assez ... Je vais test de rappeler;Je te rejoin,,,;2.5574631690979004
C'est bidon les Alcatel,,,;Re Allez ca ira !! Mcdo maintenant haha;2.5044729709625244
10 ans apres Fega se bouuuuge enffiiinnnn;Euh c'est demain qu'on devait manger ensemble nn ?,,,;3.045923948287964
Mais de quoi tu me parles depuis tout a  l'heure la  ??? ;Et donne moi ton adresse pour que je regarde la route,,,;2.512606143951416
J ai des info pour ta carte vitale fait moi sonner je te rappelle Anon,,,;Je l'ai vu a midi et il m'a dis que si tu lui envoye un mess il te repondrai mais il ne fera pas le premirer pas..,,,;2.589587926864624
Oui je suisen cours je te les passerai t'inquiete  bisous! ;BonjourAnon, excuse moi mais je me suis trompee de semaine et donc finalement peut on remettre le cours a mardi soir?!,,,;1.7849711179733276
