sentence1;sentence2;similarity_score
wsh t'es relou fr;t'es barbant mec ;4
j'suis éclaté wsh ;g ss fatigué de fou ;3
j'ai zappé le rdv;Désolée j'ai oublie;2
j'arrive dans 5 min;jariv dan 5min;4
j’me taille;j’me casse;5
Comment j'ai trop trop froid ;j'me les gêle ;5
j’ai pété un câble;g pété 1 kbl;4
ça craint ici;sa kr1 isi;3
Chez pas;Ben jsais pas ;4
Il caaaaaille ;il caille de ouf dehors;4
Et vs faite skoi ?;Lol mais qu est ce que vs faites?;4
Ptdr ma pauvre!;Grrrr  ça va le moral?;2
J'en ai marre;J'en peu plus;4
je m'en fiche un peu;J'men fou d'elle ;4
Oe;Ouè ouè;5
Whesh !;Wsh;5
Pas de pb ;pa de pblm;4
 savvva alors ?;Wsh ça va ?;4
ça m'fait chier;je me fais chier;2
va te faire foutre;va te faire enculer;4
rien à branler;Bah je m’en fou;4
oh la ça craint!!!;Mais ptn c’est quoi ce bordel ? ;2
j’en ai ral le bol;ça m'fait chier;4
tu me gonfles !!!;j’en ai ral le cul de toi!;4
qu’est-ce que tu branles ce soir ? ;Ouaii  tfk?;4
J'en sais fichtre rien! ;Ok jvai voir ca ;0
Ok call me si tas un blem!;Textotes moi quand tu décolle;0
Chelou le mec;C bizzare;2
besos;bisou;4
A pluche;A plus ! ;4
J'taime;Jtm tre fort;4
Quand t arrive et tout t m apl ? ;Tu me tel Stp ?;3
avc ki ?; avec qui ?;5
Fau que tu mette la mise a jour sur ton tel c genial ;tu vois quand lautre est en train de tecrir un sms et tt jmeclate;1
Oui! J'etais trop deg!;Putain je suis deg ;4
et tkt, pas de prob;Ok ok cé cool ;4
Ok nikel;ça roule;4
tes toi !;ferme la;4
t'es a la zonmé ?;t chez tw ? ;4
Zetes ou?;Kes ke vs faites ?;0
T as check ton facebook?!;Check ton faceniouk bébé;4
Ben ca me saoul !;ça m'fait chier;4
Nan c'est comme tu'v;C com tu veu ;5
Nn tinkiete pas BB;Lol mais tkt;4
 Jespère ksa va bien ;tu vas bien ou bien?;4
Lol jdr ;j'ador;4
Joue pas le narvalo ! ;NE FAIS PAS LE CON !;4
G tai totalement oublié merde ; je t'ai complètement zappé dtaleur ;4
Tes oqp?; Kes tfai ?;3
Ms t avec qui?;C qui ton mec ? ;4
Oue grv;Ouai grave;4
J'ai kiffé;Ouille , ouille , ouille , j'aime pas avoir mal !!!;0
Allez ! Vazi stp;Mais si ! Allez stp ;3
 avc ki ?;avec qui ?;5
Ah ok bn c'est pas gravemerci qd mm;Oue mais bon Cpg;4
Ct ferme dc j'ai escalade;ct fermer dc g escaladé;4
Yep;Ouaip ;4
G lui dirai ;J'lui ferai passer le msg ;4
j’te jure;La vie d ma mère ;3
Il raconte encore nptq;Il raconte encr de la merde ;4
c’est pas con;c pas bete ;4
t'es qu'un trou duc;Enculé;4
Enculé;Enfoiré;3
Je sens que tout ça va partir en couilles;c va devenir le bordel;3
Elle c peté la gueule; Elle c fait bobo à la bouche ;3
J'te souhaite un tres joyeux n'anniversaire! ;Alice te souhaite aussi un tres joyeux anniv' !;2
qqn;qlqun;5
Bon alors jvais etre serieuse; Assez rigolé maintenant ;3
gros zoubia  ; Biz;5
Me souviens plus;g   oublié ;4
C foutu oui ;C'est mort ;4
Je peux vs mailler;g peux vous capter ;4
 j’ai oublié mes clés au taf !; Frérot, arrête d'faire le boloss devant tt le monde ;0
il glande; quel branleur ;4
J’en ai rien à foutre de ckils pensent ; m'en fou de leurs avis;3
Il  l'a traité de pédale;il est tjrs entrain de traiter les filles de poufiasses ;0
casse-toi ; dégage ;4
tu me gonfles !!!;tu m'casses les couillles ;4
j’en ai ral le bol;J'en ai ma claque;4
mdr tkt il va kiffer ton dm ;je ss sur kil va aimer ton msg ;4
Ltb;abandonne;5
Ya koi qui change ?; c koi la diff ? ;4
Pck je me suis chier je pense;Lol mais tkt au pire y a les rattrapagés ;0
Oui il ma dit qqs trucs; il m'a branché oe ;3
fin bref jme tais; vzy j'la boucle ;3
Jtai apelé ya 2h tu ten branle tu fais ta life; Mdr Je lutte pour que tu m apl ;3
Sa ma soule;J'ai le seum ;3
Ca va cramer;Tu me tiens au jus ;0
tkt pas;trql ;3
a tt a l'h !;a tte ;5
a tt bientot! ;A 1 d ces 4 ;3
j'étais trop trop trop crevée;savvva alors;0
jte dis kan on arrive;j'te tiens au courant ;3
T'as bcq de trucs a faire ?;T'es ocp ?;3
dsl du retard; j'suis à la bourre ;3
Quoi de neuf ? ;Ca dit quoi ? ;3
tfq;tfk ;5
ocp; oqp ;5
Coucou;CC;5
Salu; Slt;5
Sava; sa va ;5
Nan; nn ;5
pcq ;pck ;5
vazi; vsy;5
vsy;azy ;5
azy;vazi ;5
tkt;tqt;5
annif ; anniv;5
Quelle question debile biensur que oui ! ;ya des canadiens qui viennent passé le week end;0
vac ; vacance;5
vac;vacs;5
c pareil; idem ;4
quoi 2 9? ;Quoi de neuf ? ;5
Je pige pas la ;g comprends pas ;4
pck ;par s q;5
Chelou le mec; bizzare lui ;4
de mes deux !;de merde ;5
Quand t arrive et tout t m apl;Tu me tel Stp ?;4
C'est a perpette;M'en fou g sais résister;0
mais elles me bouffent avec leurs conneries ! ;Elles me prennent grv la tête enft ;3
Oki doki !;Dac;4
Siii d'abord c  marque a l'extrait de camomille;Si ta pas encore posté la lettre pour mon forfait le fait pas ;0
jme suis arrangé, c pas grave ;g me suis démerdé tqt ;3
Sinn ele va fair un sketch;Elle va t'faire une scene;3
C est lui ki doit etre dsl;il doit s'en mordre les doigts ;3
Y'a du monde encore ? ;C encore plein à craquer ?;3
Ojd;aujourdhui ;5
Les gen on trop pas de face!!!;ils sont trop relou ;1
t es fada a etre dsl ou koi?!;ten a pas marre de t’excuser ?;2
ba oui ca mderamge connard;ça me va Bebe;0
S il vienne pas jmen fou!!!; j m’en bats les couilles s’ils se pointent pas ;3
c est ton pote ou pas?!!! ;tu l'connais nan ? ;2
Mai t es sèrieux !? ;Deconne pas ;3
Sinon t pas mort??;sa va toi ? ;2
Tu bosse a quel heure?;a kel heure tu taffes ? ;4
Lol ben pour que tu sois pas en retard au boulot !; pour qu  tu  sois pas à la bourre au taff ;4
T'as bouffer tout le bacon et le chorizo ? ? ;Ouai je lai fait g rien perdu;0
oui elle me l'a dit elle s'est taper Franck aussi !; elle la tringlee ;3
ca va c t fastoche;c t pas 6 dure ;3
 je veut savoir qui tu aime; t’es en crush sur ki ?;4
Couillon ; enfoire ;3
Aucune réponse en + couillon ;en plus tu m laisses des vues ;3
Vou ete parti?; vs avez bougé ?;4
J'tai pas envoyé de message;nan g t’ai pas textote ;4
Ca s'passe bien??;ça roule ?;4
ail oui sa fais pas mal; C r ;3
We;bail;2
ta pas de chance ! ;ten rate pas 1 ;0
J'etais trop deg! ;ça ma cassé les couilles ;3
Je crois que j'ai chier mes partiels mais puissant quoi ; g fait d la merde;3
J suis un boulet ;g suis qu’un boloss ;4
Putain je suis deg de moi meme la lol;Purre en plus mdrrrr je vais me taper la grosse honte mdrrrrrr;0
mais tkt au pire y a les rattrapagés; t peux encr ratttraper l’tir ;3
fallait tenter un truc;fallait foncer ;3
vous me textotez des que vous etes en ville;tenez moi o jus qd vs êtes ds ls parages ;4
J'ai un peu eu le tps de rien faire;g eu l tps d me tourner les pouces ;3
Cé qui tes fournisseur ??;ki t ravitaille ??;0
Ben on se retrouve ds 10/20 min; on svoit talleur ;0
Tt a l h ;tte a l heure ;5
Tte a l heure; talleur ;5
Pas tro seule ?;T geres solo ? ;2
T sé sérieuse la ?;fodra se cotisé ? ;0
Eh désolée du cp j'peux pas;c mort pour moi ;3
on a rien fé et on est sorti plu tot !!;on a pas tringlé;3
Cé vré que la tu marque un point;oe t pas tort ;3
Ça va t es pepere;tu t la coules douce toi ;3
merci beaucoup pour tous ce que tu m'as aidé;cimer pr l cp d pouce mgl ;3
Ok nikel ;ça roule;4
 me gene pas; m emmerde pas ;4
Je serai j pense chezmamie mamie; Et cool si t chez mamie alors!;2
 tu verras c 1000fois meilleur;c un banger j te dis;3
T radote;t racontes ke des betiz ;2
Elle ta dc repéré ;tu t fais grillé ;3
fallait que j'en  parle ac qqn pr pas devenir cplètement folle;g devais me libéré ;3
dc elle a sû un peu ttes les étapes;du cp elle a été o ju du process ;3
Auj;ojd ;5
 non g a peine répondu';j l’ai a peine cala ;3
nn t'as pas compris… ;t as pas capté ;3
après si tu peu ;pls tard si t Chaud ;3
tt façon je pense que ça servira à rien;c perdu d avnce ;3
Mess; msg ;5
oui tkt je peux comprendre;elle a pas compris pk;0
Mais bon je m'en fiche un peu; azy balecs hein;3
Ahahaha bien fait mauvais élève!; T'las mérité troublefait;3
nn au début on vous en a pas parlé;nan on vs a brifé;3
ils fnt ça tt le temps…;Ué je sais Sam m'a fait tourné le texto …;0
fonce alors; azy ;3
oulah tu t'enflammes peut être un peu là quand mm ;t serais ps entrain d'te mettre en rogne ;3
Mw je dors; j'roupille ;4
dsl, par sms c'est plus dur de reconnaitre ; sa gere dercire en russe ;0
Je prends la peine de te repondre juste parcque tu tai fait chier ;Mais aller quoi !!!!!;1
Tu sais rien alors shut;Ferme la t sais ke dalle ;4
Je te tiens o Ju la chérie;J'te branche bb ;4
Elle est trop stilet; elle en degag;3
Sailler j'ai ma nouvelle chambre;Ta vus la nouvelle pub;0
Je kiff ;Jm bien;4
Allez c'est bon tu ma soulez bye !! ; Tu m fais chier, j'me casse ;4
Ta vus le chien ?;Tyrop mimi;0
Tu fais la geule ? ;T nrv ?;3
Ta pris les clees ? ;Chui chez sfr;0
Oué !! ; Ouè ouè;5
Tu me manque a mord; g grv envie d'te voir;2
oh bah ça fait pas avant 18h à chàteau;C'un bg le mec laba;0
Ta vue? ;J'men fou d'elle elle est trop l'aide s'te meuf;0
Ya la muisique a donf ; Ya d lambiance ;2
C'trop bien; C'cool ;4
c'bon ; cv ;4
Ouais com tu ve ;si ca t'chante ;4
ve;vx;5
tes toi !;Ta gueule ;5
Tgl;Ta gueule ;5
 C plu pratik ;La prise et casser;0
J'aisitye entre deus couleur ;Mais chu pas sure;2
C'fini vien la chercher ;Nn elle est ici;0
c'b;C bizzare;5
C chian;C relou;4
Nan mais c'est pas sa;C pas idem ;4
Si tu la pas c'pas grave ;J'vais me faire masser;0
Chez pas;J'sais pas ;5
C'est Man down de rihana boulette !;meuf allez suplis ta mere tu dis que ce st pour mon annive ! Allez !;0
Je t'att; j'fais la queue;1
Jt au resto ;Jt au bahut ;0
 jvien de finir de bouffe;jt entr1 d graille ;3
J'vais faire ma grosse chieuse!;g vais l'emmerder ;3
Mdr trop bonne blagounette ! ;Ct marrant ;4
Ah super on s'est trop gavé;On ses rempli la pense à en mourir ;4
